"Benchmark","Mode","Threads","Samples","Score","Score Error","Unit","Param: size","Param: sparsity"
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"140,000000",NaN,"ms",512,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"96,847863","20,663213","ms/op",1024,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"429,709423","22,770248","MB/sec",1024,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"121351640,066003","9,733586","B/op",1024,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"337,000000",NaN,"counts",1024,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"9012,000000",NaN,"ms",1024,0.0
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"89,048705","11,391335","ms/op",1024,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"309,688051","30,151392","MB/sec",1024,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"65868439,178792","6118,071400","B/op",1024,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"360,000000",NaN,"counts",1024,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"4160,000000",NaN,"ms",1024,0.5
"utils.BenchmarkRunner.loopUnrolledMultiply","avgt",1,5,"83,214343","7,614707","ms/op",1024,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate","avgt",1,5,"175,004475","15,176336","MB/sec",1024,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.alloc.rate.norm","avgt",1,5,"26605968,588690","4861,738132","B/op",1024,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.count","avgt",1,5,"50,000000",NaN,"counts",1024,0.9
"utils.BenchmarkRunner.loopUnrolledMultiply:gc.time","avgt",1,5,"169,000000",NaN,"ms",1024,0.9
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1,500083","0,075487","ms/op",128,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"459,554955","18,426396","MB/sec",128,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"1481778,135742","0,084144","B/op",128,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"123,000000",NaN,"counts",128,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"183,000000",NaN,"ms",128,0.0
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1,423281","0,037409","ms/op",128,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"269,962177","4,081471","MB/sec",128,0.5
